ADDRESS,VACANT AS OF,WARD,DWELLING TYPE,DISTRICT,SALE REVIEW CATEGORY,CENSUS TRACT,MAP LOCATION
801 7TH ST E,07/02/2012 12:00:00 AM,7,Commercial,4,2,33100,"801 7TH ST E
St Paul, MN
(44.961443, -93.066846)"
928 7TH ST W,08/19/2014 12:00:00 AM,2,Commercial,9,2,0,"928 7TH ST W
St Paul, MN
(44.928256, -93.125913)"
929 7TH ST W,11/18/2010 12:00:00 AM,2,Commercial,9,3,36900,"929 7TH ST W
St Paul, MN
(44.928184, -93.126018)"
1280 7TH ST W APT 4,09/03/2014 12:00:00 AM,2,Multi-family Residential,9,2,36800,"1280 7TH ST W APT 4
St Paul, MN
(44.922129, -93.134987)"
1453 7TH ST E,09/11/2009 12:00:00 AM,6,Single Family Residential,2,2,31702,"1453 7TH ST E
St Paul, MN
(44.966717, -93.03903)"
1541 7TH ST E,09/04/2013 12:00:00 AM,6,Single Family Residential,2,2,31801,"1541 7TH ST E
St Paul, MN
(44.966718, -93.035308)"
1552 7TH ST E,08/04/2014 12:00:00 AM,7,Single Family Residential,2,2,31801,"1552 7TH ST E
St Paul, MN
(44.966719, -93.034882)"
1691 7TH ST E,04/17/2012 12:00:00 AM,6,Single Family Residential,2,2,31801,"1691 7TH ST E
St Paul, MN
(44.966695, -93.028962)"
1755 7TH ST E,01/09/2015 12:00:00 AM,6,Single Family Residential,2,1,31801,"1755 7TH ST E
St Paul, MN
(44.966686, -93.026371)"
1766 7TH ST E,09/13/2010 12:00:00 AM,7,Single Family Residential,2,2,31801,"1766 7TH ST E
St Paul, MN
(44.966685, -93.026087)"
328 9TH ST E,06/18/2014 12:00:00 AM,2,Multi-family Residential,4,2,33000,"328 9TH ST E
St Paul, MN
(44.953315, -93.087512)"
889 AGATE ST,06/01/2007 12:00:00 AM,5,Multi-family Residential,6,2,31400,"889 AGATE ST
St Paul, MN
(44.967849, -93.094197)"
1580 ALAMEDA ST,04/07/2015 12:00:00 AM,5,Single Family Residential,10,1,30300,"1580 ALAMEDA ST
St Paul, MN
(44.988754, -93.129946)"
1064 ALBEMARLE ST,06/09/2014 12:00:00 AM,5,Single Family Residential,6,2,30800,"1064 ALBEMARLE ST
St Paul, MN
(44.97345, -93.107185)"
1090 ALBEMARLE ST,03/20/2012 12:00:00 AM,5,Single Family Residential,6,2,30800,"1090 ALBEMARLE ST
St Paul, MN
(44.974, -93.107189)"
1126 ALBEMARLE ST,10/01/2013 12:00:00 AM,5,Single Family Residential,6,2,30800,"1126 ALBEMARLE ST
St Paul, MN
(44.975093, -93.107182)"
1210 ALBEMARLE ST,07/29/2014 12:00:00 AM,5,Single Family Residential,6,3,30800,"1210 ALBEMARLE ST
St Paul, MN
(44.977638, -93.107195)"
1300 ALBEMARLE ST,04/07/2015 12:00:00 AM,5,Single Family Residential,6,1,30800,"1300 ALBEMARLE ST
St Paul, MN
(44.980155, -93.107184)"
834 ALGONQUIN AVE,01/21/2015 12:00:00 AM,7,Single Family Residential,2,2,31802,"834 ALGONQUIN AVE
St Paul, MN
(44.966683, -93.016276)"
1880 AMES AVE,11/16/2012 12:00:00 AM,6,Duplex,2,2,31801,"1880 AMES AVE
St Paul, MN
(44.972107, -93.020955)"
37 ANNAPOLIS ST E,09/17/2014 12:00:00 AM,2,Single Family Residential,3,1,37200,"37 ANNAPOLIS ST E
St Paul, MN
(44.919624, -93.083453)"
113 ANNAPOLIS ST E,08/22/2008 12:00:00 AM,2,Commercial,3,2,37200,"113 ANNAPOLIS ST E
St Paul, MN
(44.919612, -93.080045)"
253 ANNAPOLIS ST W,05/18/2010 12:00:00 AM,2,Multi-family Residential,3,2,37000,"253 ANNAPOLIS ST W
St Paul, MN
(44.919666, -93.096463)"
699 ARCADE ST,03/10/2015 12:00:00 AM,7,Mixed Use,4,2,33100,"699 ARCADE ST
St Paul, MN
(44.962558, -93.065932)"
962 ARCADE ST,09/04/2014 12:00:00 AM,6,Mixed Use,5,2,31600,"962 ARCADE ST
St Paul, MN
(44.9705, -93.065981)"
1093 ARCADE ST,06/30/2010 12:00:00 AM,6,Duplex,5,3,31000,"1093 ARCADE ST
St Paul, MN
(44.974281, -93.065953)"
1068 ARGYLE ST,10/10/2013 12:00:00 AM,5,Single Family Residential,10,2,31200,"1068 ARGYLE ST
St Paul, MN
(44.973291, -93.142586)"
1051 ARKWRIGHT ST,05/08/2015 12:00:00 AM,5,Commercial,5,1,30900,"1051 ARKWRIGHT ST
St Paul, MN
(44.972644, -93.083653)"
1325 ARKWRIGHT ST,11/26/2013 12:00:00 AM,5,Single Family Residential,5,2,30601,"1325 ARKWRIGHT ST
St Paul, MN
(44.981144, -93.083656)"
437 ARLINGTON AVE E,09/03/2014 12:00:00 AM,5,Single Family Residential,5,2,30601,"437 ARLINGTON AVE E
St Paul, MN
(44.984585, -93.082152)"
722 ARLINGTON AVE E,04/15/2015 12:00:00 AM,6,Single Family Residential,5,2,30602,"722 ARLINGTON AVE E
St Paul, MN
(44.984715, -93.070106)"
1722 ARLINGTON AVE E,10/31/2013 12:00:00 AM,6,Single Family Residential,2,2,30704,"1722 ARLINGTON AVE E
St Paul, MN
(44.984732, -93.027532)"
1967 ARLINGTON AVE E,02/20/2015 12:00:00 AM,6,Single Family Residential,2,2,30702,"1967 ARLINGTON AVE E
St Paul, MN
(44.984735, -93.017381)"
