SERVICE NUMBER,REQUEST DATE,LOCATION,WARD,DISTRICT COUNCIL,STATUS,REQUEST TYPE,REQUEST DESCRIPTION,SEE_CLICK_FIX WEBSITE SUBMISSION,MAP LOCATION
4041268,"FRIDAY, JANUARY 02, 2015",249 BAKER ST W,2,3,Resolved,Complaint,Vehicle/Abandoned,No,"249 BAKER ST W
St Paul, MN
(44.92663, -93.096228)"
4041269,"FRIDAY, JANUARY 02, 2015",963 EARL ST ,6,5,Resolved,Complaint,Garbage Rubbish,No,"963 EARL ST
St Paul, MN
(44.970464, -93.055811)"
4041271,"FRIDAY, JANUARY 02, 2015",644 SELBY AVE ,1,8,Transfer to VB,Complaint,Snow Walk,No,"644 SELBY AVE
St Paul, MN
(44.946584, -93.127383)"
4041273,"FRIDAY, JANUARY 02, 2015",889 AGATE ST ,5,6,Transfer to VB,Complaint,Snow Walk,No,"889 AGATE ST
St Paul, MN
(44.967849, -93.094197)"
4041275,"FRIDAY, JANUARY 02, 2015",364 BURGESS ST ,1,6,Transfer to VB,Complaint,Snow Walk,No,"364 BURGESS ST
St Paul, MN
(44.968382, -93.115348)"
4041283,"FRIDAY, JANUARY 02, 2015",1381 WHITE BEAR AVE N,6,2,Resolved,Complaint,Snow Walk,No,"1381 WHITE BEAR AVE N
St Paul, MN
(44.983084, -93.025243)"
4041284,"FRIDAY, JANUARY 02, 2015",1753 OLD HUDSON ROAD ,7,1,Resolved,Complaint,Snow Walk,No,"1753 OLD HUDSON ROAD
St Paul, MN
(44.952546, -93.026472)"
4041285,"FRIDAY, JANUARY 02, 2015",1739 OLD HUDSON ROAD ,7,1,Resolved,Complaint,Snow Walk,No,"1739 OLD HUDSON ROAD
St Paul, MN
(44.952554, -93.02674)"
4041286,"FRIDAY, JANUARY 02, 2015",1138 JESSIE ST ,5,5,Resolved,Complaint,Snow Walk,No,"1138 JESSIE ST
St Paul, MN
(44.975464, -93.077312)"
4041288,"FRIDAY, JANUARY 02, 2015",1051 ARKWRIGHT ST ,5,5,Resolved,Complaint,Snow Walk,No,"1051 ARKWRIGHT ST
St Paul, MN
(44.972644, -93.083653)"
4041289,"FRIDAY, JANUARY 02, 2015",1023 ARKWRIGHT ST ,5,5,Resolved,Complaint,Snow Walk,No,"1023 ARKWRIGHT ST
St Paul, MN
(44.972084, -93.083648)"
4041290,"FRIDAY, JANUARY 02, 2015",515 JESSAMINE AVE E,5,5,Resolved,Complaint,Snow Walk,No,"515 JESSAMINE AVE E
St Paul, MN
(44.974694, -93.078913)"
4041294,"FRIDAY, JANUARY 02, 2015",2058 CLEAR AVE ,6,2,Resolved,Complaint,Vehicle/Abandoned,No,"2058 CLEAR AVE
St Paul, MN
(44.982019, -93.01346)"
4041295,"FRIDAY, JANUARY 02, 2015",2058 CLEAR AVE ,6,2,Resolved,FYI - No Response Required,Parking,No,"2058 CLEAR AVE
St Paul, MN
(44.982019, -93.01346)"
4041297,"FRIDAY, JANUARY 02, 2015",605 WINTHROP LANE ,7,1,Resolved,Complaint,Sewer,No,"605 WINTHROP LANE
St Paul, MN
(44.922931, -93.008505)"
4041298,"FRIDAY, JANUARY 02, 2015",1377 HOYT AVE E,6,2,Transfer to VB,Complaint,Snow Walk,No,"1377 HOYT AVE E
St Paul, MN
(44.988393, -93.042369)"
4041299,"FRIDAY, JANUARY 02, 2015",1123 EDGERTON ST ,5,5,Resolved,Complaint,Snow Walk,No,"1123 EDGERTON ST
St Paul, MN
(44.975115, -93.076071)"
4041300,"FRIDAY, JANUARY 02, 2015",651 IVY AVE E,6,5,In Compliance,Complaint,Snow Walk,No,"651 IVY AVE E
St Paul, MN
(44.981065, -93.073116)"
4041301,"FRIDAY, JANUARY 02, 2015",941 GOODRICH AVE ,2,16,Resolved,Complaint,Snow Walk,No,"941 GOODRICH AVE
St Paul, MN
(44.937836, -93.13985)"
4041302,"FRIDAY, JANUARY 02, 2015",957 GOODRICH AVE ,2,16,In Compliance,Complaint,Snow Walk,No,"957 GOODRICH AVE
St Paul, MN
(44.937841, -93.140483)"
4041304,"FRIDAY, JANUARY 02, 2015",738 WESTERN AVE N,1,7,Resolved,Complaint,Garbage Rubbish,No,"738 WESTERN AVE N
St Paul, MN
(44.963463, -93.116131)"
4041305,"FRIDAY, JANUARY 02, 2015",432 COOK AVE E,5,5,Open,Complaint,Crime,No,"432 COOK AVE E
St Paul, MN
(44.972845, -93.082343)"
4041306,"FRIDAY, JANUARY 02, 2015",2005 UNIVERSITY AVE W,4,11,Resolved,Complaint,Dumping,No,"2005 UNIVERSITY AVE W
St Paul, MN
(44.958742, -93.184425)"
4041310,"FRIDAY, JANUARY 02, 2015",329 WINONA ST W,2,3,Resolved,Complaint,Exterior,No,"329 WINONA ST W
St Paul, MN
(44.921679, -93.099273)"
4041313,"FRIDAY, JANUARY 02, 2015",329 WINONA ST W,2,3,In Compliance,Complaint,Certificate of Occupancy,No,"329 WINONA ST W
St Paul, MN
(44.921679, -93.099273)"
4041315,"FRIDAY, JANUARY 02, 2015",1667 CHARLES AVE ,4,11,In Compliance,Complaint,Snow Walk,No,"1667 CHARLES AVE
St Paul, MN
(44.957475, -93.17064)"
4041317,"FRIDAY, JANUARY 02, 2015",1514 ARUNDEL ST ,5,6,Resolved,Complaint,Traffic Sign/Light New,No,"1514 ARUNDEL ST
St Paul, MN
(44.986852, -93.118533)"
4041319,"FRIDAY, JANUARY 02, 2015",1546 ARUNDEL ST ,5,6,Resolved,Complaint,Traffic Sign/Light New,No,"1546 ARUNDEL ST
St Paul, MN
(44.98784, -93.118523)"
4041321,"FRIDAY, JANUARY 02, 2015",Hudson rd. (east bound) at McKnight,,,Resolved,Complaint,Traffic Design,No,"Hudson rd. (east bound) at McKnight
St Paul, MN
"
4041330,"FRIDAY, JANUARY 02, 2015",1830 UNIVERSITY AVE W,,,Resolved,Complaint,Graffiti,Yes,"1830 UNIVERSITY AVE W
St Paul, MN
(44.955777, -93.177099)"
4041333,"FRIDAY, JANUARY 02, 2015",1370 UNIVERSITY AVE W,1,13,Resolved,Complaint,Certificate of Occupancy,No,"1370 UNIVERSITY AVE W
St Paul, MN
(44.955646, -93.158315)"
4041336,"FRIDAY, JANUARY 02, 2015",1173 EDGERTON ST ,5,5,Resolved,Complaint,Exterior,No,"1173 EDGERTON ST
St Paul, MN
(44.976648, -93.076068)"
4041338,"FRIDAY, JANUARY 02, 2015",1632 SUBURBAN AVE ,7,1,Resolved,Complaint,Animal Barking,No,"1632 SUBURBAN AVE
St Paul, MN
(44.949693, -93.031556)"
4041340,"FRIDAY, JANUARY 02, 2015",482 POINT DOUGLAS ROAD S,7,1,Resolved,Complaint,Permit,No,"482 POINT DOUGLAS ROAD S
St Paul, MN
(44.926809, -93.019712)"
4041343,"FRIDAY, JANUARY 02, 2015",482 POINT DOUGLAS ROAD S,7,1,Resolved,Complaint,TISH,No,"482 POINT DOUGLAS ROAD S
St Paul, MN
(44.926809, -93.019712)"
4041344,"FRIDAY, JANUARY 02, 2015",2099 UNIVERSITY AVE W,4,11,Open,Complaint,Graffiti,Yes,"2099 UNIVERSITY AVE W
St Paul, MN
(44.959529, -93.186414)"
4041352,"FRIDAY, JANUARY 02, 2015",728 MONTANA AVE E,6,5,Resolved,Complaint,Animals,No,"728 MONTANA AVE E
St Paul, MN
(44.98742, -93.07004)"
4041360,"FRIDAY, JANUARY 02, 2015",1110 FOREST ST ,6,5,Resolved,Complaint,Exterior,No,"1110 FOREST ST
St Paul, MN
(44.97456, -93.060868)"
4041363,"FRIDAY, JANUARY 02, 2015",844 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"844 THOMAS AVE
St Paul, MN
(44.959329, -93.135857)"
4041367,"FRIDAY, JANUARY 02, 2015",838 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"838 THOMAS AVE
St Paul, MN
(44.959329, -93.135552)"
4041368,"FRIDAY, JANUARY 02, 2015",826 THOMAS AVE ,1,7,In Compliance,Complaint,Snow Walk,No,"826 THOMAS AVE
St Paul, MN
(44.959329, -93.135084)"
4041369,"FRIDAY, JANUARY 02, 2015",530 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"530 THOMAS AVE
St Paul, MN
(44.959346, -93.122529)"
4041371,"FRIDAY, JANUARY 02, 2015",514 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"514 THOMAS AVE
St Paul, MN
(44.959352, -93.121774)"
4041373,"FRIDAY, JANUARY 02, 2015",468 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"468 THOMAS AVE
St Paul, MN
(44.959364, -93.119968)"
4041374,"FRIDAY, JANUARY 02, 2015",462 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"462 THOMAS AVE
St Paul, MN
(44.959363, -93.119658)"
4041376,"FRIDAY, JANUARY 02, 2015",419 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"419 THOMAS AVE
St Paul, MN
(44.95936, -93.117721)"
4041383,"FRIDAY, JANUARY 02, 2015",150 14TH ST ,2,17,In Compliance,Complaint,Exterior,No,"150 14TH ST
St Paul, MN
(45.071734, -93.189066)"
4041390,"FRIDAY, JANUARY 02, 2015",332 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"332 THOMAS AVE
St Paul, MN
(44.959359, -93.11411)"
4041391,"FRIDAY, JANUARY 02, 2015",296 THOMAS AVE ,1,7,Resolved,Complaint,Snow Walk,No,"296 THOMAS AVE
St Paul, MN
(44.959362, -93.112623)"
4041394,"FRIDAY, JANUARY 02, 2015",589 DALE ST N,1,7,Resolved,Complaint,Snow Walk,No,"589 DALE ST N
St Paul, MN
(44.95907, -93.126377)"
4041395,"FRIDAY, JANUARY 02, 2015",567 STRYKER AVE ,2,3,Transferred - Closed,Complaint,Graffiti,No,"567 STRYKER AVE
St Paul, MN
(44.928953, -93.088088)"
4041398,"FRIDAY, JANUARY 02, 2015",593 GALTIER ST ,1,7,Resolved,Complaint,Snow Walk,No,"593 GALTIER ST
St Paul, MN
(44.959129, -93.110592)"
4041404,"FRIDAY, JANUARY 02, 2015",2008 RAMLOW PLACE ,3,15,In Compliance,Complaint,Snow Walk,No,"2008 RAMLOW PLACE
St Paul, MN
(44.905269, -93.185153)"
4041407,"FRIDAY, JANUARY 02, 2015",1563 UNIVERSITY AVE W,4,11,Resolved,Complaint,Snow Walk,No,"1563 UNIVERSITY AVE W
St Paul, MN
(44.955746, -93.166193)"
4041408,"FRIDAY, JANUARY 02, 2015",1083 SELBY AVE ,1,8,In Compliance,Complaint,Garbage Rubbish,No,"1083 SELBY AVE
St Paul, MN
(44.946618, -93.145878)"
4041419,"FRIDAY, JANUARY 02, 2015",1716 FIELD AVE ,3,15,Resolved,FYI - No Response Required,Parking,No,"1716 FIELD AVE
St Paul, MN
(44.902558, -93.172922)"
4041422,"FRIDAY, JANUARY 02, 2015",1756 IOWA AVE E,6,2,In Compliance,Complaint,Certificate of Occupancy,No,"1756 IOWA AVE E
St Paul, MN
(44.989238, -93.026265)"
4041443,"FRIDAY, JANUARY 02, 2015",1152 MINNEHAHA AVE E,7,4,Resolved,Complaint,Garbage Rubbish,No,"1152 MINNEHAHA AVE E
St Paul, MN
(44.963065, -93.051877)"
4041446,"FRIDAY, JANUARY 02, 2015",1122 MINNEHAHA AVE E,7,4,Resolved,Complaint,Garbage Rubbish,No,"1122 MINNEHAHA AVE E
St Paul, MN
(44.963055, -93.052976)"
4041449,"FRIDAY, JANUARY 02, 2015",1620 PACIFIC ST ,7,1,Resolved,Complaint,Garbage Rubbish,No,"1620 PACIFIC ST
St Paul, MN
(44.951403, -93.031789)"
4041450,"FRIDAY, JANUARY 02, 2015",1071 CLEVELAND AVE S,3,15,Resolved,Complaint,Snow Walk,No,"1071 CLEVELAND AVE S
St Paul, MN
(44.909151, -93.187388)"
4041453,"FRIDAY, JANUARY 02, 2015",697 COOK AVE E,6,5,Resolved,Complaint,Garbage Rubbish,No,"697 COOK AVE E
St Paul, MN
(44.972963, -93.071199)"
4041454,"FRIDAY, JANUARY 02, 2015",1982 MARYLAND AVE E,6,2,Resolved,FYI - No Response Required,Parking,No,"1982 MARYLAND AVE E
St Paul, MN
(44.977489, -93.016563)"
4041457,"FRIDAY, JANUARY 02, 2015",859 TUSCARORA AVE ,2,9,Resolved,Complaint,Snow Walk,No,"859 TUSCARORA AVE
St Paul, MN
(44.923294, -93.136237)"
4041459,"FRIDAY, JANUARY 02, 2015",40 GERANIUM AVE W,5,6,In Compliance,Complaint,Dumping,No,"40 GERANIUM AVE W
St Paul, MN
(44.975572, -93.101823)"
4041468,"FRIDAY, JANUARY 02, 2015",Hawthorne @ Edgerton,,,Resolved,Complaint,Ordinance Enforcement,No,"Hawthorne @ Edgerton
St Paul, MN
(44.978337, -93.076076)"
4041471,"FRIDAY, JANUARY 02, 2015",171 WINIFRED ST W,2,3,In Compliance,Complaint,Interior,No,"171 WINIFRED ST W
St Paul, MN
(44.931389, -93.092802)"
4041473,"FRIDAY, JANUARY 02, 2015",480 NEVADA AVE E,5,5,Resolved,Complaint,Snow Walk,No,"480 NEVADA AVE E
St Paul, MN
(44.985518, -93.080256)"
4041475,"FRIDAY, JANUARY 02, 2015",Bradley & Nevada,,,Resolved,Complaint,Traffic Sign Repair,No,"Bradley &amp; Nevada
St Paul, MN
"
4041480,"FRIDAY, JANUARY 02, 2015",662 LAWSON AVE E,6,5,Transferred - Closed,Complaint,Certificate of Occupancy,No,"662 LAWSON AVE E
St Paul, MN
(44.972062, -93.072438)"
4041496,"FRIDAY, JANUARY 02, 2015",837 MINNEHAHA AVE W,1,7,In Compliance,Complaint,Garbage Rubbish,No,"837 MINNEHAHA AVE W
St Paul, MN
(44.962973, -93.135562)"
4041498,"FRIDAY, JANUARY 02, 2015",561 VAN BUREN AVE ,1,7,In Compliance,Complaint,Certificate of Occupancy,No,"561 VAN BUREN AVE
St Paul, MN
(44.962047, -93.12399)"
4041500,"FRIDAY, JANUARY 02, 2015",432 WESTERN AVE N,1,8,In Compliance,Complaint,Garbage Rubbish,No,"432 WESTERN AVE N
St Paul, MN
(44.954367, -93.116115)"
4041501,"FRIDAY, JANUARY 02, 2015",290 5TH ST E,2,17,In Compliance,Complaint,Vehicle/Abandoned,No,"290 5TH ST E
St Paul, MN
(44.949965, -93.085466)"
4041504,"FRIDAY, JANUARY 02, 2015",938 CARROLL AVE ,1,8,Resolved,Complaint,Garbage Rubbish,No,"938 CARROLL AVE
St Paul, MN
(44.950298, -93.139816)"
4041270,"FRIDAY, JANUARY 02, 2015",St Paul,,,Open,Complaint,Taxi,No,"St Paul
St Paul, MN
"
4041277,"FRIDAY, JANUARY 02, 2015",837 4TH ST E,7,4,In Compliance,Complaint,Exterior,No,"837 4TH ST E
St Paul, MN
(44.958429, -93.065195)"
4041364,"FRIDAY, JANUARY 02, 2015",111 FRONT AVE ,5,6,Resolved,Complaint,Snow Walk,No,"111 FRONT AVE
St Paul, MN
(44.970304, -93.104653)"
4041366,"FRIDAY, JANUARY 02, 2015",127 FRONT AVE ,5,6,Resolved,Complaint,Snow Walk,No,"127 FRONT AVE
St Paul, MN
(44.970311, -93.105215)"
4041550,"MONDAY, JANUARY 05, 2015",1311 LUELLA ST N,6,2,Resolved,Complaint,Interior,No,"1311 LUELLA ST N
St Paul, MN
(44.980849, -93.017656)"
4041552,"MONDAY, JANUARY 05, 2015",701 SURREY AVE ,7,4,Transfer to VB,Complaint,Snow Walk,No,"701 SURREY AVE
St Paul, MN
(44.9543, -93.067888)"
4041570,"MONDAY, JANUARY 05, 2015",1609 MONTANA AVE E,6,2,Transfer to VB,Complaint,Snow Walk,No,"1609 MONTANA AVE E
St Paul, MN
(44.987453, -93.032483)"
4041572,"MONDAY, JANUARY 05, 2015",494 GOODHUE ST ,2,9,Resolved,Complaint,Garbage Rubbish,Yes,"494 GOODHUE ST
St Paul, MN
(44.936334, -93.120796)"
4041574,"MONDAY, JANUARY 05, 2015",776 7TH ST E,7,4,In Compliance,Complaint,Zoning,No,"776 7TH ST E
St Paul, MN
(44.960525, -93.068737)"
4041575,"MONDAY, JANUARY 05, 2015",330 BAY ST ,2,9,In Compliance,Complaint,Certificate of Occupancy,No,"330 BAY ST
St Paul, MN
(44.93135, -93.130633)"
4041578,"MONDAY, JANUARY 05, 2015",330 BAY ST ,2,9,In Compliance,Complaint,Snow Walk,No,"330 BAY ST
St Paul, MN
(44.93135, -93.130633)"
4041579,"MONDAY, JANUARY 05, 2015",1393 HEWITT AVE ,4,11,In Compliance,Complaint,Snow Walk,No,"1393 HEWITT AVE
St Paul, MN
(44.966529, -93.159218)"
4041582,"MONDAY, JANUARY 05, 2015",725 SIMON AVE ,5,10,Resolved,Complaint,Vacant Building Monitoring,No,"725 SIMON AVE
St Paul, MN
(44.972924, -93.128913)"
4041583,"MONDAY, JANUARY 05, 2015",1252 JAMES AVE ,3,14,Resolved,Complaint,Garbage Rubbish,No,"1252 JAMES AVE
St Paul, MN
(44.927849, -93.153085)"
4041589,"MONDAY, JANUARY 05, 2015",373 RUTH ST N,7,1,Transfer to VB,Complaint,Snow Walk,No,"373 RUTH ST N
St Paul, MN
(44.952841, -93.015134)"
4041591,"MONDAY, JANUARY 05, 2015",Edgerton between Rose & Geranium,,,Resolved,Complaint,Traffic Sign/Light New,No,"Edgerton between Rose &amp; Geranium
St Paul, MN
"
4041593,"MONDAY, JANUARY 05, 2015",922 ARMSTRONG AVE ,2,9,Resolved,Complaint,Snow Walk,Yes,"922 ARMSTRONG AVE
St Paul, MN
(44.925037, -93.139223)"
4041594,"MONDAY, JANUARY 05, 2015",1576 WOODBRIDGE ST ,5,6,In Compliance,Complaint,Certificate of Occupancy,No,"1576 WOODBRIDGE ST
St Paul, MN
(44.988635, -93.108385)"
4041596,"MONDAY, JANUARY 05, 2015",1635 HARTFORD AVE ,3,15,Resolved,FYI - No Response Required,Parking,No,"1635 HARTFORD AVE
St Paul, MN
(44.923367, -93.169402)"
4041600,"MONDAY, JANUARY 05, 2015",671 LAFOND AVE ,1,7,Under Review,Complaint,Vacant Building Monitoring,No,"671 LAFOND AVE
St Paul, MN
(44.960242, -93.128437)"
4041603,"MONDAY, JANUARY 05, 2015",671 LAFOND AVE ,1,7,Resolved,Complaint,Vacant Building Addtl Info,No,"671 LAFOND AVE
St Paul, MN
(44.960242, -93.128437)"
4041605,"MONDAY, JANUARY 05, 2015",2138 SCENIC PLACE ,7,1,Transfer to VB,Complaint,Snow Walk,No,"2138 SCENIC PLACE
St Paul, MN
(44.949428, -93.009481)"
4041607,"MONDAY, JANUARY 05, 2015",1199 HANCOCK ST ,7,4,In Compliance,Complaint,Exterior,No,"1199 HANCOCK ST
St Paul, MN
(44.956963, -93.050009)"
4041608,"MONDAY, JANUARY 05, 2015",1013 FRONT AVE ,5,10,Resolved,Complaint,Certificate of Occupancy,No,"1013 FRONT AVE
St Paul, MN
(44.970216, -93.14297)"
4041610,"MONDAY, JANUARY 05, 2015",see details,,,Resolved,FYI - No Response Required,Parking,No,"see details
St Paul, MN
"
4041613,"MONDAY, JANUARY 05, 2015",671 LAFOND AVE ,1,7,Open,Complaint,Vacant Building Addtl Info,No,"671 LAFOND AVE
St Paul, MN
(44.960242, -93.128437)"
4041616,"MONDAY, JANUARY 05, 2015",Raymond and Energy Park Drive ,,,Resolved,Complaint,Traffic Design,No,"Raymond and Energy Park Drive
St Paul, MN
"
4041622,"MONDAY, JANUARY 05, 2015",135 WINNIPEG AVE ,1,6,In Compliance,Complaint,Certificate of Occupancy,No,"135 WINNIPEG AVE
St Paul, MN
(44.967477, -93.10557)"
4041624,"MONDAY, JANUARY 05, 2015",1398 ST PAUL AVE ,3,15,Resolved,Complaint,Dumping,No,"1398 ST PAUL AVE
St Paul, MN
(44.904281, -93.173287)"
4041625,"MONDAY, JANUARY 05, 2015",1880 GRAND AVE ,3,14,In Compliance,Complaint,Certificate of Occupancy,No,"1880 GRAND AVE
St Paul, MN
(44.940077, -93.180011)"
4041634,"MONDAY, JANUARY 05, 2015",167 MCKNIGHT ROAD N,7,1,In Compliance,Complaint,Snow Walk,No,"167 MCKNIGHT ROAD N
St Paul, MN
(44.946799, -93.004964)"
4041661,"MONDAY, JANUARY 05, 2015",87 KING ST E,2,3,Resolved,Complaint,Garbage Rubbish,No,"87 KING ST E
St Paul, MN
(44.928004, -93.081466)"
4041668,"MONDAY, JANUARY 05, 2015",2041 FORD PKWY ,3,15,Resolved,Complaint,Exterior,No,"2041 FORD PKWY
St Paul, MN
(44.91797, -93.186447)"
4041680,"MONDAY, JANUARY 05, 2015",929 GERANIUM AVE E,6,5,In Compliance,Complaint,Certificate of Occupancy,No,"929 GERANIUM AVE E
St Paul, MN
(44.975712, -93.061371)"
4041686,"MONDAY, JANUARY 05, 2015",641 LEXINGTON PKWY N,4,11,Resolved,Complaint,Certificate of Occupancy,No,"641 LEXINGTON PKWY N
St Paul, MN
(44.960693, -93.146686)"
4041693,"MONDAY, JANUARY 05, 2015",330 ARLINGTON AVE E,5,5,Resolved,Complaint,Permit,No,"330 ARLINGTON AVE E
St Paul, MN
(44.984557, -93.086661)"
4041694,"MONDAY, JANUARY 05, 2015",16 GERANIUM AVE E,5,6,In Compliance,Complaint,Dumping,No,"16 GERANIUM AVE E
St Paul, MN
(44.97557, -93.100668)"
4041698,"MONDAY, JANUARY 05, 2015",688 6TH ST E,7,4,Resolved,Complaint,Certificate of Occupancy,No,"688 6TH ST E
St Paul, MN
(44.957234, -93.072018)"
4041708,"MONDAY, JANUARY 05, 2015",249 EARL ST ,7,4,Resolved,Complaint,Garbage Rubbish,No,"249 EARL ST
St Paul, MN
(44.94902, -93.055748)"
4041709,"MONDAY, JANUARY 05, 2015",1630 MARION ST ,5,6,Resolved,Complaint,Certificate of Occupancy,No,"1630 MARION ST
St Paul, MN
(44.990336, -93.109676)"
4041716,"MONDAY, JANUARY 05, 2015",602 REANEY AVE ,6,5,Resolved,Complaint,Garbage Rubbish,No,"602 REANEY AVE
St Paul, MN
(44.963895, -93.074951)"
4041718,"MONDAY, JANUARY 05, 2015",1083 RANDOLPH AVE ,3,14,In Compliance,Complaint,Certificate of Occupancy,No,"1083 RANDOLPH AVE
St Paul, MN
(44.92696, -93.145921)"
4041754,"MONDAY, JANUARY 05, 2015",2053 CARROLL AVE ,4,13,In Compliance,Complaint,Garbage Rubbish,No,"2053 CARROLL AVE
St Paul, MN
(44.950858, -93.18696)"
4041762,"MONDAY, JANUARY 05, 2015",1276 MARSHALL AVE ,1,13,In Compliance,Complaint,Certificate of Occupancy,No,"1276 MARSHALL AVE
St Paul, MN
(44.948528, -93.15406)"
4041767,"MONDAY, JANUARY 05, 2015",921 GOODRICH AVE ,2,16,In Compliance,Complaint,Snow Walk,No,"921 GOODRICH AVE
St Paul, MN
(44.937832, -93.139193)"
4041769,"MONDAY, JANUARY 05, 2015",929 GOODRICH AVE ,2,16,In Compliance,Complaint,Snow Walk,No,"929 GOODRICH AVE
St Paul, MN
(44.937833, -93.139421)"
4041770,"MONDAY, JANUARY 05, 2015",994 3RD ST E,7,4,Transfer to VB,Complaint,Snow Walk,No,"994 3RD ST E
St Paul, MN
(44.956731, -93.058687)"
4041772,"MONDAY, JANUARY 05, 2015",941 GOODRICH AVE ,2,16,Resolved,Complaint,Snow Walk,No,"941 GOODRICH AVE
St Paul, MN
(44.937836, -93.13985)"
4041773,"MONDAY, JANUARY 05, 2015",506 SNELLING AVE N,4,11,Resolved,Complaint,Garbage Rubbish,No,"506 SNELLING AVE N
St Paul, MN
(44.956433, -93.166914)"
4041774,"MONDAY, JANUARY 05, 2015",1086 MARGARET ST ,7,4,Transfer to VB,Complaint,Snow Walk,No,"1086 MARGARET ST
St Paul, MN
(44.961257, -93.054481)"
4041775,"MONDAY, JANUARY 05, 2015",940 IVY AVE E,6,5,Resolved,Complaint,Garbage Rubbish,No,"940 IVY AVE E
St Paul, MN
(44.981149, -93.060897)"
4041776,"MONDAY, JANUARY 05, 2015",1318 MAYNARD DRIVE E,3,15,Resolved,Complaint,Certificate of Occupancy,No,"1318 MAYNARD DRIVE E
St Paul, MN
(44.901188, -93.168085)"
4041780,"MONDAY, JANUARY 05, 2015",1635 HARTFORD AVE ,3,15,Resolved,Complaint,Tree,No,"1635 HARTFORD AVE
St Paul, MN
(44.923367, -93.169402)"
4041785,"MONDAY, JANUARY 05, 2015",36 WHITE BEAR AVE N,7,1,In Compliance,Complaint,Garbage Rubbish,No,"36 WHITE BEAR AVE N
St Paul, MN
(44.942041, -93.02513)"
4041786,"MONDAY, JANUARY 05, 2015",459 MILTON ST N,1,8,Resolved,Complaint,Traffic Sign/Light New,No,"459 MILTON ST N
St Paul, MN
(44.955079, -93.139014)"
4041787,"MONDAY, JANUARY 05, 2015",1289 OSCEOLA AVE ,3,14,Under Review,Complaint,Vacant Building Monitoring,No,"1289 OSCEOLA AVE
St Paul, MN
(44.935758, -93.154778)"
4041788,"MONDAY, JANUARY 05, 2015",see details,,,Resolved,Complaint,Park/Playground,No,"see details
St Paul, MN
"
4041790,"MONDAY, JANUARY 05, 2015",1758 STILLWATER AVE ,6,2,Transfer to VB,Complaint,Snow Walk,No,"1758 STILLWATER AVE
St Paul, MN
(44.967717, -93.026346)"
4041791,"MONDAY, JANUARY 05, 2015",524 PORTLAND AVE ,1,8,Resolved,FYI - No Response Required,Parking,No,"524 PORTLAND AVE
St Paul, MN
(44.942397, -93.122627)"
4041810,"MONDAY, JANUARY 05, 2015",1100 7TH ST W,2,9,Resolved,Complaint,Exterior,No,"1100 7TH ST W
St Paul, MN
(44.925444, -93.130062)"
4041831,"MONDAY, JANUARY 05, 2015",2119 SARGENT AVE ,4,14,In Compliance,Complaint,Snow Walk,No,"2119 SARGENT AVE
St Paul, MN
(44.93524, -93.189732)"
4041839,"MONDAY, JANUARY 05, 2015",698 BLAIR AVE ,1,7,Resolved,Complaint,Garbage Rubbish,No,"698 BLAIR AVE
St Paul, MN
(44.961156, -93.129714)"
4041841,"MONDAY, JANUARY 05, 2015",434 LAFOND AVE ,1,7,In Compliance,Complaint,Garbage Rubbish,No,"434 LAFOND AVE
St Paul, MN
(44.960263, -93.118417)"
4041843,"MONDAY, JANUARY 05, 2015",421 THOMAS AVE ,1,7,In Compliance,Complaint,Garbage Rubbish,No,"421 THOMAS AVE
St Paul, MN
(44.95936, -93.117874)"
4041850,"MONDAY, JANUARY 05, 2015",493 HATCH AVE ,5,6,In Compliance,Complaint,Garbage Rubbish,No,"493 HATCH AVE
St Paul, MN
(44.97104, -93.120875)"
4041865,"MONDAY, JANUARY 05, 2015",1463 MARSHALL AVE ,1,13,Open,Complaint,License,No,"1463 MARSHALL AVE
St Paul, MN
(44.948492, -93.162178)"
4041872,"MONDAY, JANUARY 05, 2015",1537 L'ORIENT ST ,5,6,Resolved,Complaint,Certificate of Occupancy,No,"1537 L'ORIENT ST
St Paul, MN
(44.987818, -93.089699)"
4041585,"MONDAY, JANUARY 05, 2015",1252 JAMES AVE ,3,14,Resolved,Complaint,Snow Walk,No,"1252 JAMES AVE
St Paul, MN
(44.927849, -93.153085)"
4041795,"MONDAY, JANUARY 05, 2015",615 REANEY AVE ,6,5,Resolved,Complaint,Vehicle/Abandoned,No,"615 REANEY AVE
St Paul, MN
(44.963897, -93.074712)"
4041898,"TUESDAY, JANUARY 06, 2015",856 CASE AVE ,6,5,Transfer to VB,Complaint,Snow Walk,No,"856 CASE AVE
St Paul, MN
(44.970312, -93.064407)"
4041901,"TUESDAY, JANUARY 06, 2015",1026 LAWSON AVE E,6,5,Transfer to VB,Complaint,Snow Walk,No,"1026 LAWSON AVE E
St Paul, MN
(44.9721, -93.057233)"
